ufn,semsp_id,date_processed,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,qc_data,qc_flag,flag_reason,qc_log,ufn_sort
U1,2015-05-20-J05-CU-6,2015-09-10,none,none,NA,NA,118,NA,From thawed JS fish. One otolith collected,NA,CK,work-up excluding cold samples,CK,N,NA,NA,1
U11,2015-05-20-J05-CU-10,2015-09-10,none,none,NA,NA,132,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,CK,N,NA,NA,11
U12,2015-05-20-J05-CU-4,2015-09-10,none,none,NA,NA,143,NA,From thawed JS fish. One broken otolith,One broken otolith,KI,work-up excluding cold samples,KI,N,NA,NA,12
U2,2015-05-20-J05-CU-1,2015-09-10,none,none,22.2,NA,128,NA,From thawed JS fish,Small spleen,CK,work-up excluding cold samples,CK,N,NA,NA,2
U13,2015-05-20-J05-CU-7,2015-09-11,none,none,19.5,NA,122,NA,From thawed JS fish,NA,LP,work-up excluding cold samples,KI,N,NA,NA,13
U3,2015-05-20-J05-CU-2,2015-09-11,none,none,24,NA,134,NA,From thawed JS fish. Sample weighed w/ some ice on body,liver was pale,DS,work-up excluding cold samples,KI,N,NA,NA,3
U14,2015-05-20-J05-CU-8,2015-09-14,none,none,26.3,NA,139,NA,From thawed JS fish .Scale was broken so could not weigh,NA,LP,work-up excluding cold samples,KI,N,NA,NA,14
U15,2015-05-20-J05-CU-5,2015-09-14,none,none,29.7,NA,147,NA,From thawed JS fish .Scale was broken so could not weigh,NA,LP,work-up excluding cold samples,KI,N,NA,NA,15
U4,2015-05-20-J05-CU-9,2015-09-14,none,none,22.5,NA,132,NA,From thawed JS fish. Some ice still on fish when weighed,one otolith smaller than the other (broken?),DS,work-up excluding cold samples,CK,N,NA,NA,4
U5,2015-05-20-J05-CU-3,2015-09-14,none,none,13.4,NA,114,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,N,NA,NA,5
U6,2015-05-21-J06-CU-06,2015-09-14,none,none,16.3,NA,122,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,Y,Duplicate SEMSP ID (not a transcription error).,"UFN not written on tag during this period, so cannot verify",6
U16,2015-05-21-J06-SO-9,2015-09-15,none,none,12.4,NA,110,NA,From thawed JS fish. 1 louse taken seems to be different species?,1 louse taken seems to be different species?,LP,work-up excluding cold samples,DS,N,NA,NA,16
U21,2015-05-21-J06-SO-8,2015-09-15,none,none,8.5,NA,96,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI,N,NA,NA,21
U22,2015-05-21-J06-CU-3,2015-09-15,none,none,20.6,NA,127,NA,From thawed JS fish. Forgot to weigh before stomach etc removed. otoliths may have been mixed,NA,KI,work-up excluding cold samples,CK,N,NA,NA,22
U31,2015-05-21-J06-SO-10,2015-09-15,none,none,10.9,NA,96,NA,From thawed JS fish,NA,CK,work-up excluding cold samples,DS,N,NA,NA,31
U32,2015-05-21-J06-CO-3,2015-09-15,none,none,NA,NA,138,NA,"From thawed JS fish. Mangled cal. chal b, 1 cal. chal a not retained",NA,CK,work-up excluding cold samples,CK,N,NA,NA,32
U7,2015-05-21-J06-SO-5,2015-09-15,none,none,12.3,NA,113,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,N,NA,NA,7
